service name,object,operation
pushbullet,,
linkdesk,,
tis_smart_home,,
verizon_cloud,,
smartap_shower,,
wiz,,
narrative,,
lightform_cloud,,
blink1,,
cityofbeverlyhills,,
isecurityplus,,
tplink_router,,
todoist,notes;filters,
feed,,
followupcc,,
do_note,,
PIXIEPLUS,,
garadget,,
oval_smart_home,,
netro,,
tumblr,,
soma,,
fl_1000_leak_detector,,
boundary,,
sRemo,,
adafruit,URL,
heatmiser,,
ewelink,,
dobiss,,
vesyncDimmer,,
mesh,,
ge_appliances_refrigerator,,
wemo_motion,,
withings,,
link_smart_home,,
product_hunt,spaces,
ge_appliances_geospring,,
nice,,
twitch,,(manage . channel's broadcast configuration);(update . channel configuration);(manage . stream markers);(manage . stream tags);(manage . videos);(update . channel’s title);(update . game);(update . status);(update . metadata);(cut . vods)
wemo_slowcooker,,
SamsungRoomAirconditioner,name;name;birth;Country;Region,
ComEd,,
easyftp,,
buffer,,(edit . posts);(delete . posts)
foursquare,tips;tips,(create . new tips);(create . check-ins)
MsmartMicrowave,,
telegram,,
NethomePlusA1,,
blogger,comments,
onedrive,gender;picture;contacts;friends;videos;videos;comments;photos;photos,(update . your information);(edit . photos);(change . photos);(add . photos);(delete . photos);(delete . documents)
oticon,,
MSmartAC,,
fiverr,Balance,
aimore,,
go,,
vimeo,Showcases;Groups;Portfolios;Showcases;Groups;Portfolios,
intesishome,,(write . data)
microsoft_teams,profile;profiles;names;descriptions;descriptions,(read . names of teams);(read . descriptions of teams);(read . descriptions of channels);(read . basic profiles)
flickr,videos;videos;comment;notes,(edit . photos);(replace . photos);(add . notes)
google_assistant,,(manage . voice commands);(create . voice commands);(override . voice commands);(delete . voice commands);(write . voice commands)
bang_olufsens_beo_link_gateway,,
timelines,Values;Values;Templates,(update . timelines);(update . events);(update . values);(update . templates)
trello,Enterprises;Enterprises;Workspaces;Ups;Ups,(make . comments);(update . enterprises);(manage . enterprises);(create . lists);(create . boards);(update . cards);(update . lists);(update . boards)
bloomsky,,
